SM701
 1.0000000     0.0000000
 0.9931518     0.0018701
 0.9816650     0.0054782
 0.9684835     0.0099840
 0.9539093     0.0150684
 0.9386952     0.0202601
 0.9232573     0.0252603
 0.9075709     0.0299930
 0.8914819     0.0345277
 0.8749433     0.0389244
 0.8580008     0.0432300
 0.8407630     0.0474693
 0.8233438     0.0516372
 0.8058257     0.0557308
 0.7882579     0.0597406
 0.7706641     0.0636606
 0.7530544     0.0674871
 0.7354443     0.0712150
 0.7178543     0.0748356
 0.7002986     0.0783382
 0.6827808     0.0817137
 0.6653065     0.0849512
 0.6479001     0.0880357
 0.6306012     0.0909465
 0.6134291     0.0936566
 0.5963620     0.0961453
 0.5793487     0.0984059
 0.5623321     0.1004434
 0.5452548     0.1022612
 0.5280686     0.1038725
 0.5107581     0.1052958
 0.4933484     0.1065458
 0.4758841     0.1076258
 0.4583948     0.1085364
 0.4408896     0.1092796
 0.4233714     0.1098561
 0.4058506     0.1102660
 0.3883443     0.1105080
 0.3708673     0.1105778
 0.3534260     0.1104712
 0.3360234     0.1101837
 0.3186717     0.1097112
 0.3013950     0.1090490
 0.2842220     0.1081871
 0.2671750     0.1071144
 0.2502713     0.1058184
 0.2335334     0.1042854
 0.2169912     0.1025031
 0.2006807     0.1004561
 0.1846372     0.0981295
 0.1689010     0.0955086
 0.1535342     0.0925818
 0.1386172     0.0893433
 0.1242291     0.0857801
 0.1104301     0.0818861
 0.0972888     0.0776648
 0.0848882     0.0731416
 0.0733266     0.0683611
 0.0626994     0.0633932
 0.0530891     0.0583246
 0.0445533     0.0532599
 0.0370948     0.0483009
 0.0306683     0.0435327
 0.0251785     0.0390071
 0.0205268     0.0347521
 0.0166094     0.0307856
 0.0133218     0.0271059
 0.0105777     0.0236924
 0.0082918     0.0205131
 0.0063890     0.0175356
 0.0048039     0.0147278
 0.0034835     0.0120678
 0.0023865     0.0095439
 0.0014782     0.0071475
 0.0007564     0.0048778
 0.0002594     0.0027323
 0.0000139     0.0006911
 0.0000472    -0.0012734
 0.0003993    -0.0031929
 0.0010860    -0.0050926
 0.0021054    -0.0069798
 0.0034717    -0.0088412
 0.0052033    -0.0106304
 0.0073257    -0.0123059
 0.0098796    -0.0138770
 0.0128957    -0.0153814
 0.0163762    -0.0169050
 0.0203402    -0.0185307
 0.0248879    -0.0202613
 0.0301534    -0.0220801
 0.0363304    -0.0239626
 0.0436879    -0.0259105
 0.0525261    -0.0279472
 0.0630547    -0.0300959
 0.0752471    -0.0322854
 0.0888757    -0.0344176
 0.1037752    -0.0364448
 0.1196907    -0.0383464
 0.1362785    -0.0401000
 0.1532569    -0.0416892
 0.1704911    -0.0431175
 0.1879094    -0.0443896
 0.2054577    -0.0455125
 0.2230948    -0.0464915
 0.2407871    -0.0473326
 0.2585101    -0.0480378
 0.2762490    -0.0486075
 0.2939971    -0.0490424
 0.3117467    -0.0493429
 0.3294829    -0.0495091
 0.3471827    -0.0495363
 0.3648138    -0.0494161
 0.3823354    -0.0491398
 0.3997166    -0.0486894
 0.4169610    -0.0480431
 0.4341059    -0.0471820
 0.4512061    -0.0461003
 0.4683215    -0.0447932
 0.4855163    -0.0432582
 0.5028459    -0.0415113
 0.5203383    -0.0395747
 0.5379920    -0.0374735
 0.5557932    -0.0352319
 0.5737301    -0.0328752
 0.5917927    -0.0304272
 0.6099652    -0.0279078
 0.6282204    -0.0253389
 0.6465208    -0.0227439
 0.6648267    -0.0201467
 0.6831004    -0.0175704
 0.7013093    -0.0150365
 0.7194303    -0.0125637
 0.7374515    -0.0101690
 0.7553680    -0.0078695
 0.7731771    -0.0056832
 0.7908761    -0.0036271
 0.8084587    -0.0017198
 0.8259120     0.0000202
 0.8432171     0.0015728
 0.8603491     0.0029147
 0.8772793     0.0040239
 0.8939606     0.0048752
 0.9103103     0.0054444
 0.9262077     0.0057014
 0.9414816     0.0056145
 0.9559401     0.0051535
 0.9694101     0.0042838
 0.9817908     0.0029952
 0.9930870     0.0012978
 1.0000000     0.0000000
